date,code,volume,pctChg,close
2019-06-17,sz.000703,4582615,0.963081,12.5800
2019-06-18,sz.000703,3331657,0.158986,12.6000
2019-06-19,sz.000703,10426974,2.539680,12.9200
2019-06-20,sz.000703,9810938,2.631580,13.2600
2019-06-21,sz.000703,10000674,-0.226249,13.2300
2019-06-24,sz.000703,7260290,-1.209372,13.0700
2019-06-25,sz.000703,8707312,-1.453708,12.8800
2019-06-26,sz.000703,12718163,1.863352,13.1200
2019-06-27,sz.000703,22347686,2.972564,13.5100
2019-06-28,sz.000703,13926960,1.110286,13.6600
2019-07-01,sz.000703,25317885,3.001463,14.0700
2019-07-02,sz.000703,23041454,3.127225,14.5100
2019-07-03,sz.000703,20690700,-5.789112,13.6700
2019-07-04,sz.000703,15021422,1.170445,13.8300
2019-07-05,sz.000703,13039491,0.144617,13.8500
2019-07-08,sz.000703,10044303,-1.083037,13.7000
2019-07-09,sz.000703,9056834,-1.459853,13.5000
2019-07-10,sz.000703,8187646,0.370372,13.5500
2019-07-11,sz.000703,8146787,-0.147605,13.5300
2019-07-12,sz.000703,6548144,-1.921650,13.2700
2019-07-15,sz.000703,8744405,-1.431805,13.0800
2019-07-16,sz.000703,5780850,0.840976,13.1900
2019-07-17,sz.000703,4267789,0.454893,13.2500
2019-07-18,sz.000703,4260759,-1.584906,13.0400
2019-07-19,sz.000703,3903521,0.306748,13.0800
2019-07-22,sz.000703,20619991,-5.581036,12.3500
2019-07-23,sz.000703,20961400,-0.566807,12.2800
2019-07-24,sz.000703,10800017,-0.407168,12.2300
2019-07-25,sz.000703,9905921,-2.371218,11.9400
2019-07-26,sz.000703,6688322,1.340000,12.1000
2019-07-29,sz.000703,4946731,-1.239674,11.9500
2019-07-30,sz.000703,7437644,1.590000,12.1400
2019-07-31,sz.000703,4163988,0.247100,12.1700
2019-08-01,sz.000703,6847539,0.000000,12.1700
2019-08-02,sz.000703,10252954,-1.396900,12.0000
2019-08-05,sz.000703,7289820,-1.250000,11.8500
2019-08-06,sz.000703,9438123,-2.531600,11.5500
2019-08-07,sz.000703,5168961,0.606100,11.6200
2019-08-08,sz.000703,5390287,1.721200,11.8200
2019-08-09,sz.000703,4519698,0.676800,11.9000
2019-08-12,sz.000703,3861014,1.092400,12.0300
2019-08-13,sz.000703,3307783,-1.330000,11.8700
2019-08-14,sz.000703,5659254,1.179400,12.0100
2019-08-15,sz.000703,2783471,-0.166500,11.9900
2019-08-16,sz.000703,8552419,-3.085900,11.6200
2019-08-19,sz.000703,6531604,1.118800,11.7500
2019-08-20,sz.000703,5558224,-0.766000,11.6600
2019-08-21,sz.000703,5563714,-1.372200,11.5000
2019-08-22,sz.000703,7060991,0.173900,11.5200
2019-08-23,sz.000703,5511346,-0.694500,11.4400
2019-08-26,sz.000703,9156253,-2.972000,11.1000
2019-08-27,sz.000703,11683761,0.900900,11.2000
2019-08-28,sz.000703,11904821,1.428600,11.3600
2019-08-29,sz.000703,8012279,-1.232400,11.2200
2019-08-30,sz.000703,9420430,0.713000,11.3000
2019-09-02,sz.000703,9133017,0.177000,11.3200
2019-09-03,sz.000703,8188313,0.706700,11.4000
2019-09-04,sz.000703,25410765,5.964900,12.0800
2019-09-05,sz.000703,21926185,2.235100,12.3500
2019-09-06,sz.000703,18780007,3.076900,12.7300
2019-09-09,sz.000703,29958266,5.263200,13.4000
2019-09-10,sz.000703,12406624,0.522400,13.4700
2019-09-11,sz.000703,10571081,-0.965100,13.3400
2019-09-12,sz.000703,8392291,1.124400,13.4900
2019-09-16,sz.000703,31660218,-2.149700,13.2000
2019-09-17,sz.000703,14917157,-1.515200,13.0000
2019-09-18,sz.000703,10044205,-0.692300,12.9100
2019-09-19,sz.000703,12472426,0.697100,13.0000
2019-09-20,sz.000703,10928060,-0.769200,12.9000
2019-09-23,sz.000703,8685195,-1.240300,12.7400
2019-09-24,sz.000703,6782213,-1.491400,12.5500
2019-09-25,sz.000703,6461949,-0.637400,12.4700
2019-09-26,sz.000703,5339319,-1.363300,12.3000
2019-09-27,sz.000703,5801182,0.731700,12.3900
2019-09-30,sz.000703,14438230,5.004000,13.0100
2019-10-08,sz.000703,11279169,-2.536500,12.6800
2019-10-09,sz.000703,15485859,5.283900,13.3500
2019-10-10,sz.000703,9487465,0.749100,13.4500
2019-10-11,sz.000703,23614968,4.386600,14.0400
2019-10-14,sz.000703,17162612,0.000000,14.0400
2019-10-15,sz.000703,20324569,0.000000,14.0400
2019-10-16,sz.000703,12378257,1.495700,14.2500
2019-10-17,sz.000703,11467432,-0.982500,14.1100
2019-10-18,sz.000703,20928349,-0.779600,14.0000
2019-10-21,sz.000703,7961221,-1.071400,13.8500
2019-10-22,sz.000703,10022105,0.866400,13.9700
2019-10-23,sz.000703,6899547,0.071600,13.9800
2019-10-24,sz.000703,6077638,-1.502100,13.7700
2019-10-25,sz.000703,5417163,0.290500,13.8100
2019-10-28,sz.000703,8723129,-0.868900,13.6900
2019-10-29,sz.000703,5633000,-1.095700,13.5400
2019-10-30,sz.000703,10278754,1.551000,13.7500
2019-10-31,sz.000703,19667338,4.363600,14.3500
2019-11-01,sz.000703,13940652,1.045300,14.5000
2019-11-04,sz.000703,13652655,1.586200,14.7300
2019-11-05,sz.000703,9971383,0.000000,14.7300
2019-11-06,sz.000703,12104972,-2.036700,14.4300
2019-11-07,sz.000703,6287074,0.693000,14.5300
2019-11-08,sz.000703,7707255,-1.789400,14.2700
2019-11-11,sz.000703,11155281,-2.522800,13.9100
2019-11-12,sz.000703,8420547,-0.431300,13.8500
2019-11-13,sz.000703,23806155,-2.382700,13.5200
2019-11-14,sz.000703,19616578,-1.849100,13.2700
2019-11-15,sz.000703,14557086,-1.959300,13.0100
2019-11-18,sz.000703,14794129,-1.229800,12.8500
2019-11-19,sz.000703,15003595,0.389100,12.9000
2019-11-20,sz.000703,18365165,0.077500,12.9100
2019-11-21,sz.000703,16596265,-1.549200,12.7100
2019-11-22,sz.000703,14203024,1.967000,12.9600
2019-11-25,sz.000703,11012501,1.851800,13.2000
2019-11-26,sz.000703,20317181,3.712100,13.6900
2019-11-27,sz.000703,9301060,-0.657400,13.6000
2019-11-28,sz.000703,9324792,0.220600,13.6300
2019-11-29,sz.000703,14747983,2.201000,13.9300
2019-12-02,sz.000703,5297706,-0.933200,13.8000
2019-12-03,sz.000703,5830129,-0.072500,13.7900
2019-12-04,sz.000703,5674584,-1.450300,13.5900
2019-12-05,sz.000703,10239647,-2.501800,13.2500
2019-12-06,sz.000703,6935510,-0.679200,13.1600
2019-12-09,sz.000703,6740228,0.759900,13.2600
2019-12-10,sz.000703,6291139,-1.357500,13.0800
2019-12-11,sz.000703,7474101,-0.305800,13.0400
2019-12-12,sz.000703,7875361,-0.536800,12.9700
2019-12-13,sz.000703,10295426,1.927500,13.2200
2019-12-16,sz.000703,13633521,-0.378200,13.1700
2019-12-17,sz.000703,12153299,0.455600,13.2300
2019-12-18,sz.000703,15422835,-2.040800,12.9600
2019-12-19,sz.000703,15399760,0.077200,12.9700
2019-12-20,sz.000703,6639160,-0.154200,12.9500
2019-12-23,sz.000703,8252826,0.077200,12.9600
2019-12-24,sz.000703,6108685,0.077200,12.9700
2019-12-25,sz.000703,4742032,0.077100,12.9800
2019-12-26,sz.000703,10971383,1.694900,13.2000
2019-12-27,sz.000703,16430124,2.272700,13.5000
2019-12-30,sz.000703,14526489,2.148100,13.7900
2019-12-31,sz.000703,14788171,0.942700,13.9200
2020-01-02,sz.000703,16956127,1.508600,14.1300
2020-01-03,sz.000703,9878832,-1.273900,13.9500
